City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Tabas,IR,2020-11-09 05:37:39,33.6,56.92,64.4,34,0,2.24
268,Lucea,JM,2020-11-09 05:37:39,18.45,-78.17,78.8,88,20,5.82
269,Port Blair,IN,2020-11-09 05:37:39,11.67,92.75,77.0,94,90,2.24
270,Nuuk,GL,2020-11-09 05:37:39,64.18,-51.72,17.6,85,100,21.92
271,Berlevag,NO,2020-11-09 05:37:40,70.86,29.09,32.0,82,75,5.82
272,Half Moon Bay,US,2020-11-09 05:37:40,37.46,-122.43,48.2,81,1,5.82
273,Atasu,KZ,2020-11-09 05:37:40,48.68,71.64,35.13,82,90,30.29
274,Bhabua,IN,2020-11-09 05:37:41,25.05,83.62,80.94,28,0,4.43
275,Lubango,AO,2020-11-09 05:37:42,-14.92,13.49,71.08,30,39,6.69
276,Hambantota,LK,2020-11-09 05:33:03,6.12,81.12,87.8,74,40,5.82
277,Riachao Das Neves,BR,2020-11-09 05:37:42,-11.75,-44.91,69.67,80,9,2.55
278,Biak,ID,2020-11-09 05:37:42,-0.91,122.88,85.05,57,46,10.71
279,Isangel,VU,2020-11-09 05:37:43,-19.55,169.27,75.85,78,87,18.7
280,Ellisras,ZA,2020-11-09 05:37:43,-23.66,27.74,88.99,27,62,7.92
281,Abha,SA,2020-11-09 05:37:43,18.22,42.51,66.2,39,0,4.88
282,Zhangye,CN,2020-11-09 05:37:43,38.93,100.45,53.55,29,0,4.92
283,Lagoa,PT,2020-11-09 05:37:44,39.05,-27.98,60.98,66,90,14.14
284,Siilinjarvi,FI,2020-11-09 05:37:44,63.08,27.67,35.6,86,20,14.99
285,Nurota,UZ,2020-11-09 05:37:44,40.56,65.69,44.6,87,90,2.24
286,Isparta,TR,2020-11-09 05:34:30,38.0,31.0,39.2,65,0,4.7
287,Clyde River,CA,2020-11-09 05:37:44,70.47,-68.59,-0.4,77,1,8.05
288,Sabha,LY,2020-11-09 05:37:45,27.04,14.43,56.57,78,0,5.86
289,Anuradhapura,LK,2020-11-09 05:37:45,8.36,80.42,84.04,74,87,9.71
290,Avera,US,2020-11-09 05:37:45,33.19,-82.53,68.0,86,90,6.93
291,Campo De Criptana,ES,2020-11-09 05:37:45,39.4,-3.12,48.0,82,60,4.9
292,Castro,BR,2020-11-09 05:37:46,-24.79,-50.01,59.32,91,98,4.25
293,Takoradi,GH,2020-11-09 05:37:46,4.88,-1.76,77.2,85,26,2.62
294,Deputatskiy,RU,2020-11-09 05:37:46,69.3,139.9,-17.79,89,1,3.53
295,Kishtwar,IN,2020-11-09 05:37:46,33.32,75.77,68.65,20,38,3.58
296,Geraldton,AU,2020-11-09 05:37:46,-28.77,114.6,68.0,82,90,24.16
297,Klyuchi,RU,2020-11-09 05:37:46,52.27,79.17,41.61,63,59,23.8
298,Bar-Le-Duc,FR,2020-11-09 05:37:47,48.75,5.17,51.8,93,0,4.7
299,Diffa,NE,2020-11-09 05:37:47,13.32,12.61,70.27,35,6,8.14
300,Lorengau,PG,2020-11-09 05:37:47,-2.02,147.27,84.09,70,47,2.95
301,Namatanai,PG,2020-11-09 05:37:47,-3.67,152.43,83.98,70,77,5.19
302,Shizunai,JP,2020-11-09 05:37:48,42.33,142.37,42.51,65,91,14.41
303,Port Hedland,AU,2020-11-09 05:37:48,-20.32,118.57,96.8,23,0,18.34
